@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2}

@data
986,'2018/08/22 10:57:03:821',6,-3026479,-2829100,-2894893,-3223858,-2829100,-3487030,-3289651,-3289651,-3487030,-3487030,-2829100,-2960686,-2894893,-2960686,-3092272,-3223858,-3026479,-3355444,-3355444,-3289651,-2434342,-3289651,-2960686,-2500135,-3750202,-4868683,-4605511,-3815995,-3223858,-2960686,-2697514,-2631721,-3289651,-5395027,-6250336,-6052957,-5395027,-5066062,-3881788,-3355444,-2894893,-2829100,-4210753,-6908266,-5987164,-5789785,-6184543,-6052957,-4408132,-3552823,-2829100,-3487030,-4934476,-6447715,-5592406,-7105645,-8553091,-6710887,-4671304,-3881788,-3026479,-3026479,-4802890,-6776680,-7697782,-8355712,-9671572,-7434610,-5789785,-5329234,-2829100,-3158065,-4473925,-4671304,-6645094,-7631989,-9737365,-7237231,-6579301,-6381922,-2829100,-3026479,-3223858,-4408132,-4868683,-4342339,-7105645,-9013642,-8947849,-8553091,-3223858,-3026479,-2434342,-2763307,-2763307,-3026479,-7829368,-11513776,-12171706,-11776948,2
987,'2018/08/22 10:57:03:837',6,-6908266,-6710887,-6776680,-6908266,-6710887,-6645094,-6776680,-6776680,-6842473,-6842473,-6908266,-6842473,-6974059,-7039852,-6842473,-6842473,-6908266,-6710887,-6842473,-6842473,-6908266,-6908266,-6974059,-6842473,-6579301,-6776680,-6908266,-6710887,-6842473,-6842473,-7039852,-6974059,-6842473,-6447715,-6184543,-6645094,-7039852,-6842473,-6908266,-6908266,-7105645,-7105645,-6974059,-6447715,-6184543,-6710887,-7171438,-7039852,-6974059,-6974059,-6908266,-6974059,-7105645,-6842473,-6579301,-6842473,-7105645,-6974059,-7039852,-7039852,-6842473,-6908266,-7237231,-7303024,-7039852,-6974059,-7105645,-7039852,-6974059,-6974059,-7039852,-7105645,-7434610,-7697782,-7434610,-7237231,-7368817,-7368817,-6908266,-6908266,-7105645,-7105645,-7105645,-7237231,-7303024,-7303024,-7237231,-7105645,-7039852,-7039852,-7105645,-7039852,-7039852,-7105645,-7237231,-7237231,-7171438,-7039852,-7039852,-7039852,2
988,'2018/08/22 10:57:03:853',6,-2829100,-2697514,-2763307,-3026479,-2763307,-3289651,-3092272,-3355444,-3289651,-3421237,-2697514,-3355444,-2894893,-3289651,-3092272,-3223858,-3355444,-3355444,-3289651,-3355444,-2631721,-3223858,-2302756,-3552823,-4342339,-4737097,-5000269,-4144960,-3618616,-3552823,-2434342,-2697514,-3289651,-5658199,-6184543,-6645094,-6645094,-5197648,-3552823,-3355444,-2763307,-2565928,-4802890,-6842473,-5723992,-6447715,-7566196,-7237231,-3487030,-3289651,-3026479,-2500135,-5197648,-7171438,-5855578,-7303024,-9079435,-9211021,-3421237,-3289651,-2565928,-2565928,-4737097,-7434610,-7631989,-8750470,-9079435,-7434610,-3355444,-3289651,-2565928,-2960686,-3355444,-5789785,-6710887,-7434610,-6908266,-4144960,-3881788,-3947581,-2631721,-2829100,-3026479,-3947581,-4737097,-4868683,-3815995,-4408132,-4868683,-5395027,-2434342,-2565928,-2434342,-2763307,-3026479,-3158065,-3026479,-4605511,-6118750,-6645094,2
989,'2018/08/22 10:57:03:869',6,-2829100,-2631721,-3223858,-2829100,-3092272,-3158065,-3487030,-3223858,-3355444,-3355444,-2631721,-3289651,-2565928,-2697514,-3158065,-3158065,-3289651,-3223858,-3158065,-3223858,-2829100,-2763307,-2829100,-3421237,-4342339,-5066062,-3289651,-3487030,-3618616,-3684409,-2500135,-2763307,-3092272,-5131855,-5592406,-5789785,-5460820,-3223858,-3158065,-3289651,-2894893,-2434342,-5855578,-6579301,-6184543,-8026747,-7566196,-3947581,-3092272,-3223858,-2302756,-2829100,-5658199,-7105645,-7303024,-9013642,-9276814,-3026479,-3421237,-3618616,-3092272,-2960686,-5395027,-6842473,-7829368,-9276814,-7500403,-3421237,-2829100,-3092272,-2697514,-2894893,-3289651,-5263441,-5987164,-5592406,-3947581,-3026479,-2960686,-3223858,-2631721,-2697514,-2960686,-3355444,-3289651,-3684409,-2960686,-2894893,-3092272,-3421237,-2631721,-2565928,-2631721,-2829100,-2763307,-3355444,-2894893,-2960686,-4210753,-4539718,2
990,'2018/08/22 10:57:03:885',6,-2565928,-2894893,-2894893,-2697514,-2763307,-2829100,-3092272,-3092272,-2829100,-2960686,-2565928,-2829100,-2500135,-2236963,-3158065,-3158065,-3223858,-2960686,-3289651,-3355444,-2302756,-2763307,-2829100,-3223858,-4210753,-4079167,-4079167,-3684409,-3289651,-3223858,-2960686,-2565928,-2565928,-4539718,-5197648,-5789785,-5789785,-4868683,-3223858,-3158065,-2434342,-2434342,-3421237,-6908266,-5987164,-6908266,-7566196,-6842473,-3552823,-3421237,-3026479,-2960686,-3815995,-7368817,-6052957,-7631989,-9408400,-8947849,-3355444,-3289651,-2500135,-2631721,-3355444,-6776680,-7368817,-8289919,-8158333,-5395027,-2894893,-2960686,-2368549,-2960686,-2894893,-4144960,-4934476,-5263441,-5592406,-3092272,-2960686,-3092272,-2500135,-2434342,-2894893,-3289651,-2631721,-3815995,-3026479,-2763307,-3092272,-2960686,-2565928,-2434342,-2697514,-2763307,-1907998,-3223858,-2829100,-2960686,-3026479,-2829100,2
991,'2018/08/22 10:57:03:901',6,-3026479,-2434342,-2960686,-2500135,-2829100,-3092272,-2960686,-3026479,-3092272,-3026479,-2171170,-2631721,-2894893,-2631721,-3158065,-3026479,-3092272,-2697514,-3092272,-3092272,-2631721,-2829100,-2565928,-3092272,-4276546,-4079167,-4473925,-3552823,-3158065,-3092272,-2697514,-2434342,-3552823,-5066062,-5789785,-5592406,-5855578,-4605511,-3158065,-3092272,-2697514,-2500135,-5395027,-6447715,-5921371,-6579301,-7434610,-6184543,-3092272,-3026479,-2829100,-2894893,-6381922,-6974059,-6513508,-8158333,-8750470,-6579301,-3092272,-3026479,-2434342,-2763307,-5460820,-6908266,-7368817,-8224126,-7697782,-4539718,-3158065,-3092272,-2829100,-2697514,-3618616,-5131855,-5855578,-5592406,-5460820,-3289651,-3158065,-3092272,-2697514,-2697514,-3223858,-3552823,-3815995,-3881788,-3289651,-3026479,-3092272,-3026479,-2697514,-2631721,-2960686,-2894893,-2960686,-3092272,-2829100,-2960686,-3158065,-3092272,2
992,'2018/08/22 10:57:03:917',6,-2565928,-2697514,-2631721,-2960686,-2368549,-3223858,-2565928,-3158065,-3092272,-3026479,-2697514,-2434342,-2368549,-2894893,-2829100,-2829100,-2829100,-3223858,-2960686,-2960686,-3026479,-3026479,-2565928,-2894893,-3421237,-3421237,-3552823,-2368549,-2960686,-2960686,-2236963,-2697514,-2500135,-4013374,-4539718,-4539718,-5329234,-4276546,-3158065,-3092272,-2894893,-2631721,-2697514,-6513508,-6776680,-5855578,-6118750,-5921371,-3289651,-3223858,-2697514,-2960686,-3223858,-6513508,-6118750,-6447715,-8618884,-9868951,-3289651,-3223858,-3158065,-2960686,-3026479,-5658199,-6908266,-7960954,-7763575,-5592406,-3223858,-3158065,-2894893,-2763307,-3355444,-4737097,-5263441,-5526613,-5592406,-3684409,-3223858,-3158065,-3026479,-2894893,-2960686,-3289651,-3684409,-3815995,-3552823,-3223858,-3092272,-3092272,-2894893,-2894893,-2894893,-3026479,-3223858,-3223858,-3158065,-2960686,-3092272,-3092272,2
993,'2018/08/22 10:57:03:933',6,-2631721,-2565928,-2894893,-2697514,-2894893,-2565928,-2894893,-2829100,-2894893,-2894893,-2631721,-3026479,-2763307,-2697514,-2697514,-3158065,-2960686,-2960686,-3026479,-3026479,-2631721,-2960686,-2500135,-3618616,-3684409,-4671304,-3684409,-3355444,-3092272,-3092272,-2763307,-2697514,-3355444,-5263441,-4868683,-5658199,-5197648,-4671304,-3026479,-3026479,-2829100,-2894893,-5131855,-6513508,-5592406,-6381922,-7237231,-5921371,-3026479,-3026479,-2763307,-2894893,-5855578,-6776680,-6710887,-7763575,-8553091,-5460820,-3092272,-3092272,-2894893,-2763307,-4934476,-5921371,-6645094,-7434610,-7303024,-4013374,-3158065,-3158065,-3355444,-2829100,-4013374,-4737097,-5131855,-5000269,-4868683,-3355444,-3158065,-3158065,-2960686,-2960686,-3026479,-3289651,-3552823,-3618616,-3421237,-3223858,-3158065,-3158065,-3158065,-3092272,-3158065,-3223858,-3355444,-3421237,-3289651,-3158065,-3223858,-3223858,2
994,'2018/08/22 10:57:03:950',6,-2368549,-2960686,-2697514,-2829100,-2631721,-2829100,-2763307,-3092272,-3026479,-2960686,-2829100,-3158065,-3026479,-2829100,-3092272,-3026479,-3158065,-2829100,-3092272,-2960686,-2631721,-2763307,-2894893,-2894893,-3487030,-3421237,-3684409,-2829100,-3158065,-3026479,-2763307,-2763307,-3026479,-4079167,-4539718,-4671304,-4868683,-3750202,-3289651,-3092272,-2894893,-2894893,-3158065,-5658199,-5658199,-6118750,-6118750,-5066062,-3289651,-3092272,-2894893,-2960686,-3355444,-6710887,-6447715,-7368817,-7368817,-5921371,-3289651,-3092272,-3223858,-3289651,-3618616,-6710887,-6645094,-7631989,-7697782,-5329234,-3421237,-3223858,-3223858,-3158065,-3355444,-5592406,-5658199,-6447715,-6513508,-3223858,-3618616,-3421237,-3223858,-3092272,-3289651,-3750202,-4934476,-5329234,-4342339,-3684409,-3421237,-3355444,-3026479,-3092272,-3223858,-3158065,-3552823,-3684409,-3092272,-3092272,-3421237,-3355444,2
995,'2018/08/22 10:57:03:967',6,-2960686,-3026479,-2829100,-2894893,-3158065,-3026479,-2960686,-3223858,-3092272,-3092272,-2960686,-3223858,-2763307,-2894893,-3158065,-2960686,-3092272,-2894893,-3026479,-3026479,-2829100,-3355444,-2829100,-3487030,-3881788,-3750202,-4276546,-3618616,-2894893,-2960686,-3092272,-3487030,-3026479,-4408132,-5000269,-4671304,-5395027,-4539718,-3223858,-3223858,-3092272,-3289651,-3289651,-5658199,-6776680,-6579301,-7500403,-6710887,-3618616,-3618616,-3158065,-3092272,-3552823,-6052957,-7434610,-7631989,-8355712,-7566196,-3684409,-3618616,-3618616,-3223858,-3618616,-5066062,-5855578,-6250336,-6250336,-4934476,-3552823,-3487030,-3618616,-3158065,-3487030,-4210753,-4737097,-5395027,-5000269,-3421237,-3618616,-3552823,-3421237,-3552823,-3684409,-3552823,-3487030,-3487030,-3552823,-3552823,-3487030,-3487030,-3487030,-3618616,-3684409,-3618616,-3552823,-3552823,-3618616,-3618616,-3618616,-3618616,2
