@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2}

@data
1182,'2018/08/22 10:57:07:083',6,-6710887,-6579301,-6645094,-6908266,-7105645,-7039852,-6908266,-6908266,-7105645,-7171438,-6513508,-6645094,-6776680,-6908266,-6974059,-7039852,-7105645,-7105645,-7105645,-7105645,-6381922,-6645094,-6908266,-6974059,-6908266,-7039852,-7171438,-7171438,-6908266,-6908266,-6447715,-6579301,-6908266,-7237231,-7237231,-7039852,-6974059,-7105645,-7171438,-7171438,-6645094,-6447715,-6776680,-7500403,-7697782,-7237231,-6974059,-7105645,-7105645,-7171438,-6776680,-6447715,-6710887,-7566196,-7960954,-7566196,-7237231,-7237231,-6974059,-6974059,-6710887,-6645094,-6710887,-7171438,-7566196,-7697782,-7434610,-7237231,-7237231,-7237231,-6645094,-6842473,-6776680,-6710887,-7039852,-7566196,-7500403,-7105645,-6974059,-7039852,-6645094,-6645094,-6710887,-6710887,-6776680,-6908266,-7039852,-7171438,-7039852,-7039852,-6710887,-6710887,-6710887,-6710887,-6710887,-6776680,-6842473,-6974059,-6974059,-6974059,2
1183,'2018/08/22 10:57:07:100',6,-6776680,-6579301,-6645094,-6776680,-6776680,-7039852,-7171438,-6974059,-7368817,-7368817,-6710887,-6710887,-6908266,-7039852,-6974059,-7105645,-7171438,-7039852,-7039852,-7105645,-6645094,-6710887,-7039852,-7171438,-6908266,-6908266,-7105645,-7105645,-7303024,-7303024,-6645094,-6710887,-7039852,-7105645,-6776680,-6645094,-6908266,-7039852,-7171438,-7171438,-6645094,-6776680,-7237231,-7434610,-7039852,-6776680,-6908266,-6974059,-7105645,-7105645,-6645094,-6776680,-7368817,-7829368,-7631989,-7237231,-7105645,-6974059,-7237231,-7237231,-6645094,-6645094,-7237231,-7829368,-7763575,-7500403,-7303024,-7105645,-7039852,-7039852,-6645094,-6447715,-6842473,-7434610,-7566196,-7434610,-7368817,-7237231,-7105645,-7039852,-6710887,-6776680,-6842473,-6908266,-6974059,-7105645,-7171438,-7303024,-6974059,-6974059,-6710887,-6776680,-6776680,-6842473,-6842473,-6842473,-6908266,-6974059,-6842473,-6842473,2
1184,'2018/08/22 10:57:07:117',6,-6645094,-6710887,-6842473,-7039852,-7171438,-7171438,-7105645,-7105645,-7171438,-7171438,-6776680,-6776680,-6908266,-7039852,-7039852,-6974059,-7039852,-7237231,-7237231,-7237231,-6842473,-6776680,-6842473,-7105645,-7039852,-6842473,-6908266,-7237231,-7105645,-7105645,-6842473,-6645094,-6842473,-7237231,-7303024,-6974059,-6908266,-7171438,-6974059,-6974059,-6842473,-6645094,-6842473,-7368817,-7631989,-7434610,-7105645,-7039852,-7039852,-7039852,-6842473,-6710887,-6842473,-7368817,-7763575,-7697782,-7368817,-7105645,-6974059,-6974059,-6710887,-6710887,-6776680,-7039852,-7368817,-7566196,-7434610,-7105645,-6842473,-6842473,-6513508,-6645094,-6645094,-6645094,-6908266,-7303024,-7303024,-7039852,-6974059,-6974059,-6776680,-6776680,-6842473,-6908266,-6908266,-6908266,-6974059,-6974059,-6842473,-6842473,-6776680,-6776680,-6842473,-6908266,-6908266,-6908266,-6974059,-6974059,-6842473,-6842473,2
1185,'2018/08/22 10:57:07:133',6,-6908266,-7039852,-6974059,-6776680,-6842473,-7105645,-7171438,-6908266,-6908266,-7039852,-6710887,-6842473,-6974059,-6908266,-6974059,-7039852,-7105645,-7039852,-6974059,-7039852,-6645094,-6710887,-6908266,-6974059,-6908266,-6776680,-6908266,-7171438,-6908266,-6908266,-6842473,-6776680,-6908266,-7039852,-6842473,-6513508,-6710887,-7171438,-6974059,-6974059,-6842473,-6842473,-7105645,-7368817,-7171438,-6776680,-6776680,-7105645,-7039852,-7039852,-6710887,-6776680,-7237231,-7697782,-7697782,-7237231,-7039852,-7105645,-6974059,-6974059,-6710887,-6776680,-7039852,-7434610,-7697782,-7500403,-7303024,-7171438,-6908266,-6842473,-6974059,-6776680,-6776680,-7039852,-7303024,-7500403,-7434610,-7303024,-7105645,-6974059,-6908266,-6908266,-6908266,-6842473,-6908266,-7105645,-7105645,-7039852,-6908266,-6908266,-6842473,-6842473,-6842473,-6776680,-6842473,-7039852,-7039852,-6974059,-6842473,-6842473,2
1186,'2018/08/22 10:57:07:150',6,-6908266,-6645094,-6776680,-6908266,-6842473,-7105645,-7237231,-6842473,-6842473,-6842473,-6710887,-6710887,-6908266,-7039852,-6842473,-6776680,-6908266,-6842473,-6842473,-6842473,-6579301,-6842473,-7039852,-7105645,-7039852,-6645094,-6579301,-6908266,-6776680,-6776680,-6579301,-6842473,-6908266,-7171438,-7368817,-6908266,-6645094,-7039852,-6776680,-6776680,-6842473,-6842473,-6710887,-7039852,-7631989,-7434610,-6974059,-7105645,-6842473,-6842473,-6974059,-6842473,-6645094,-6908266,-7566196,-7697782,-7303024,-7039852,-6710887,-6710887,-6908266,-6776680,-6776680,-6776680,-7039852,-7434610,-7368817,-6908266,-6579301,-6579301,-6776680,-6776680,-6908266,-6710887,-6579301,-7039852,-7368817,-6842473,-6710887,-6710887,-6974059,-6974059,-6908266,-6842473,-6842473,-6776680,-6710887,-6579301,-6447715,-6447715,-6974059,-6974059,-6908266,-6842473,-6842473,-6776680,-6710887,-6645094,-6447715,-6447715,2
1187,'2018/08/22 10:57:07:166',6,-6842473,-6842473,-6842473,-6776680,-6842473,-6974059,-6842473,-6645094,-6579301,-6513508,-6776680,-6776680,-6776680,-6842473,-6842473,-6776680,-6710887,-6710887,-6645094,-6579301,-6776680,-6710887,-6842473,-7039852,-6908266,-6645094,-6579301,-6710887,-6513508,-6447715,-6908266,-6776680,-6908266,-7237231,-7237231,-6776680,-6579301,-6645094,-6381922,-6316129,-6974059,-6710887,-6908266,-7434610,-7566196,-7171438,-6842473,-6776680,-6447715,-6381922,-6842473,-6710887,-6842473,-7303024,-7566196,-7434610,-7105645,-6908266,-6316129,-6250336,-6842473,-6776680,-6842473,-7039852,-7237231,-7237231,-7039852,-6842473,-6184543,-6118750,-6908266,-6908266,-6908266,-6776680,-6842473,-6908266,-6842473,-6645094,-6250336,-6184543,-6842473,-6776680,-6710887,-6645094,-6579301,-6513508,-6381922,-6316129,-6052957,-6052957,-6776680,-6710887,-6645094,-6579301,-6513508,-6447715,-6316129,-6250336,-6052957,-6052957,2
1188,'2018/08/22 10:57:07:183',6,-6579301,-6710887,-6974059,-6776680,-6381922,-6381922,-6579301,-6447715,-6052957,-5987164,-6776680,-6776680,-6908266,-6776680,-6447715,-6447715,-6513508,-6316129,-6184543,-6118750,-6908266,-6776680,-6842473,-6842473,-6579301,-6579301,-6513508,-6118750,-6052957,-6052957,-6776680,-6710887,-6908266,-7039852,-6842473,-6710887,-6447715,-6052957,-5921371,-5855578,-6710887,-6710887,-7105645,-7368817,-7105645,-6842473,-6579301,-6184543,-5987164,-5921371,-6710887,-6710887,-7105645,-7500403,-7303024,-6974059,-6710887,-6316129,-5921371,-5921371,-6710887,-6513508,-6842473,-7237231,-7171438,-6908266,-6579301,-6184543,-5855578,-5789785,-6710887,-6316129,-6447715,-6842473,-6908266,-6776680,-6447715,-5987164,-5855578,-5789785,-6579301,-6579301,-6579301,-6579301,-6447715,-6316129,-6184543,-6118750,-5723992,-5789785,-6447715,-6447715,-6447715,-6381922,-6316129,-6184543,-6052957,-5987164,-5723992,-5789785,2
1189,'2018/08/22 10:57:07:200',6,-6776680,-6645094,-6447715,-6184543,-6316129,-6447715,-5987164,-5921371,-5723992,-5658199,-6513508,-6447715,-6447715,-6513508,-6447715,-6184543,-6052957,-5789785,-5789785,-5789785,-6316129,-6381922,-6447715,-6974059,-6579301,-5987164,-6316129,-5855578,-5723992,-5723992,-6447715,-6447715,-6381922,-7368817,-6908266,-6118750,-6710887,-5921371,-5592406,-5592406,-6579301,-6513508,-6513508,-7697782,-7368817,-6579301,-6908266,-5855578,-5658199,-5658199,-6447715,-6447715,-6513508,-7566196,-7566196,-6974059,-6710887,-5658199,-5592406,-5592406,-6447715,-6316129,-6381922,-6842473,-7105645,-6908266,-6381922,-5723992,-5526613,-5526613,-6513508,-6316129,-6250336,-6052957,-6447715,-6645094,-6118750,-5987164,-5658199,-5658199,-6447715,-6447715,-6316129,-6513508,-6250336,-5987164,-6118750,-5658199,-5460820,-5395027,-6447715,-6381922,-6250336,-6447715,-6184543,-5921371,-6052957,-5592406,-5460820,-5460820,2
1190,'2018/08/22 10:57:07:216',6,-6579301,-6184543,-6250336,-6316129,-6052957,-5789785,-5723992,-5592406,-5526613,-5526613,-6381922,-6316129,-6316129,-6381922,-5987164,-5987164,-5658199,-5329234,-5329234,-5263441,-6250336,-6513508,-6447715,-6710887,-6052957,-6381922,-5723992,-5197648,-5460820,-5460820,-6250336,-6579301,-6513508,-7303024,-6513508,-6776680,-5789785,-5395027,-5263441,-5263441,-6250336,-6316129,-6381922,-7631989,-6908266,-6842473,-5855578,-5658199,-5263441,-5263441,-6250336,-6052957,-6184543,-7303024,-6842473,-6579301,-5789785,-5658199,-5460820,-5460820,-6381922,-6052957,-6118750,-6710887,-6447715,-6250336,-5789785,-5526613,-5263441,-5197648,-6447715,-6184543,-6184543,-6184543,-6118750,-5987164,-5789785,-5329234,-5395027,-5329234,-6184543,-6118750,-5987164,-5855578,-5789785,-5723992,-5658199,-5592406,-5395027,-5395027,-6250336,-6184543,-5987164,-5921371,-5789785,-5658199,-5592406,-5526613,-5395027,-5395027,2
1191,'2018/08/22 10:57:07:233',6,-6381922,-6052957,-6118750,-6250336,-5921371,-5658199,-5592406,-5460820,-5263441,-5263441,-6184543,-6052957,-6184543,-6184543,-5921371,-5855578,-5658199,-5263441,-5263441,-5197648,-6052957,-6118750,-6316129,-6316129,-6250336,-6250336,-5921371,-5131855,-5395027,-5329234,-6118750,-6118750,-6381922,-6776680,-6842473,-6710887,-6118750,-5329234,-5066062,-5000269,-6250336,-5921371,-6316129,-7171438,-7303024,-6908266,-6184543,-5592406,-5592406,-5460820,-6316129,-5789785,-6184543,-7105645,-7303024,-6710887,-6118750,-5658199,-5329234,-5263441,-6316129,-5855578,-6118750,-6710887,-6842473,-6513508,-6052957,-5592406,-5460820,-5395027,-6316129,-6052957,-6118750,-6381922,-6447715,-6447715,-6052957,-5526613,-5263441,-5263441,-6316129,-6118750,-5987164,-5987164,-5987164,-5921371,-5789785,-5658199,-5263441,-5263441,-6250336,-6118750,-5921371,-5921371,-5921371,-5921371,-5723992,-5592406,-5329234,-5263441,2
1192,'2018/08/22 10:57:07:249',6,-6710887,-6908266,-7039852,-6842473,-7105645,-7237231,-6908266,-6974059,-7171438,-6842473,-6842473,-7039852,-6908266,-7303024,-7697782,-8092540,-8026747,-8026747,-7566196,-6908266,-6776680,-7039852,-6645094,-8224126,-8553091,-8816263,-8882056,-8882056,-8487298,-7171438,-6908266,-7237231,-7171438,-10000537,-10329502,-10197916,-10263709,-10395295,-9342607,-7434610,-6776680,-6974059,-7500403,-11053225,-11447983,-11184811,-11447983,-11842741,-9671572,-7500403,-6908266,-6842473,-7631989,-10592674,-10987432,-10987432,-11382190,-11645362,-9342607,-7500403,-7368817,-7105645,-7960954,-9474193,-9803158,-10197916,-10395295,-10066330,-8487298,-7434610,-7039852,-6776680,-7631989,-8092540,-8421505,-9276814,-9211021,-8224126,-7631989,-7171438,-6974059,-7105645,-7171438,-7368817,-7763575,-7631989,-7434610,-7566196,-7303024,-7303024,-7105645,-7171438,-7171438,-7368817,-7631989,-7500403,-7237231,-7368817,-7303024,-7303024,2
1193,'2018/08/22 10:57:07:266',6,-5723992,-6052957,-5855578,-5789785,-5723992,-5592406,-5658199,-5197648,-5263441,-5329234,-5855578,-6118750,-5921371,-6052957,-5987164,-5789785,-5855578,-5460820,-5263441,-5263441,-6052957,-6118750,-5987164,-6381922,-6513508,-6184543,-6118750,-5855578,-5197648,-5263441,-6184543,-6118750,-5987164,-6645094,-7039852,-6710887,-6447715,-6052957,-5263441,-5263441,-6250336,-6052957,-5855578,-6710887,-7303024,-7039852,-6710887,-6118750,-5329234,-5329234,-6250336,-6052957,-5789785,-6447715,-7039852,-6974059,-6710887,-5987164,-5460820,-5395027,-6184543,-6184543,-5855578,-6118750,-6447715,-6513508,-6447715,-5921371,-5460820,-5460820,-6118750,-6250336,-5855578,-5855578,-5921371,-6052957,-6250336,-5855578,-5460820,-5460820,-6250336,-6250336,-5855578,-5921371,-5921371,-5723992,-5921371,-5723992,-5526613,-5460820,-6250336,-6250336,-5855578,-5921371,-5921371,-5723992,-5921371,-5723992,-5526613,-5460820,2
1194,'2018/08/22 10:57:07:283',6,-5987164,-5723992,-5658199,-5592406,-5460820,-5526613,-5658199,-5460820,-5329234,-5329234,-5855578,-5789785,-5987164,-5987164,-5723992,-5592406,-5592406,-5329234,-5329234,-5329234,-5855578,-5855578,-6184543,-6316129,-5987164,-5789785,-5658199,-5395027,-5329234,-5329234,-5921371,-5921371,-6250336,-6513508,-6381922,-6184543,-5987164,-5723992,-5329234,-5329234,-6052957,-5855578,-6250336,-6842473,-6974059,-6776680,-6447715,-5987164,-5395027,-5395027,-6052957,-5855578,-6316129,-7105645,-7434610,-7237231,-6710887,-6184543,-5460820,-5460820,-6052957,-5855578,-6250336,-6974059,-7237231,-7039852,-6710887,-6316129,-5526613,-5526613,-6184543,-5789785,-6052957,-6579301,-6710887,-6645094,-6579301,-6447715,-5592406,-5526613,-5987164,-5855578,-5987164,-6118750,-6184543,-6316129,-6316129,-5987164,-5592406,-5592406,-5987164,-5921371,-5987164,-6052957,-5987164,-6118750,-6052957,-5658199,-5592406,-5592406,2
1195,'2018/08/22 10:57:07:300',6,-5855578,-5789785,-5855578,-5789785,-5460820,-5395027,-5526613,-5395027,-5263441,-5197648,-5921371,-5855578,-5921371,-5855578,-5658199,-5723992,-5723992,-5395027,-5395027,-5329234,-6052957,-6118750,-6250336,-6184543,-6118750,-6250336,-6118750,-5526613,-5395027,-5395027,-5987164,-6316129,-6710887,-6776680,-6710887,-6842473,-6579301,-5921371,-5460820,-5460820,-5855578,-6447715,-7105645,-7368817,-7237231,-7171438,-6908266,-6250336,-5592406,-5526613,-5855578,-6316129,-7039852,-7434610,-7237231,-7105645,-6842473,-6381922,-5526613,-5460820,-5921371,-5987164,-6513508,-6908266,-6842473,-6645094,-6447715,-6250336,-5526613,-5460820,-6052957,-5723992,-5987164,-6381922,-6381922,-6184543,-6184543,-6052957,-5789785,-5723992,-6118750,-6052957,-5921371,-5855578,-5855578,-5855578,-5789785,-5789785,-5855578,-5855578,-6118750,-6052957,-5921371,-5855578,-5855578,-5855578,-5789785,-5789785,-5592406,-5592406,2
1196,'2018/08/22 10:57:07:316',6,-5723992,-5855578,-5921371,-5723992,-5789785,-5723992,-5460820,-5658199,-5263441,-5263441,-5987164,-6118750,-6118750,-5921371,-5921371,-5789785,-5526613,-5592406,-5526613,-5526613,-5921371,-5987164,-6052957,-6184543,-6184543,-5987164,-5789785,-5658199,-5592406,-5592406,-5987164,-6052957,-6250336,-6776680,-6776680,-6447715,-6250336,-5723992,-5658199,-5592406,-6250336,-6381922,-6710887,-7566196,-7566196,-7039852,-6776680,-5921371,-5723992,-5723992,-6184543,-6250336,-6579301,-7829368,-7895161,-7368817,-7368817,-6250336,-5789785,-5723992,-6250336,-6118750,-6250336,-7631989,-7763575,-7303024,-7566196,-6447715,-5855578,-5855578,-6776680,-6513508,-6381922,-7566196,-7500403,-7105645,-7434610,-6250336,-6118750,-6052957,-12763843,-12961222,-12763843,-12763843,-12566464,-12303292,-12500671,-12369085,-12961222,-12961222,-12961222,-13158601,-12961222,-13027015,-12895429,-12632257,-12829636,-12763843,-12829636,-12829636,2
1197,'2018/08/22 10:57:07:333',6,-5921371,-6184543,-5987164,-5921371,-6184543,-6052957,-5789785,-5987164,-5921371,-5855578,-6250336,-5723992,-6184543,-6645094,-6184543,-6250336,-6184543,-5263441,-5723992,-5723992,-7500403,-7039852,-7566196,-7697782,-6908266,-6842473,-7105645,-6513508,-6250336,-6250336,-12961222,-12763843,-11447983,-9868951,-9145228,-9474193,-10921639,-12632257,-12961222,-12961222,-12895429,-12829636,-11645362,-10000537,-9211021,-9408400,-10855846,-12632257,-12961222,-12961222,-8158333,-8092540,-8947849,-9145228,-8289919,-8158333,-8553091,-8092540,-8816263,-8750470,-6381922,-6052957,-6908266,-7631989,-7303024,-7368817,-7303024,-6381922,-6052957,-5987164,-6381922,-6645094,-6513508,-6645094,-7105645,-6842473,-6250336,-6052957,-5987164,-5987164,-6842473,-6513508,-6579301,-6513508,-6842473,-6381922,-6250336,-5921371,-6052957,-6052957,-6842473,-6513508,-6645094,-6513508,-6776680,-6316129,-6250336,-5987164,-6052957,-6052957,2
1198,'2018/08/22 10:57:07:349',6,-5987164,-5987164,-5987164,-5921371,-5855578,-5789785,-5789785,-5789785,-5658199,-5658199,-6447715,-6316129,-6118750,-5987164,-5987164,-5987164,-5921371,-5921371,-5789785,-5789785,-7105645,-6842473,-6579301,-6447715,-6513508,-6513508,-6447715,-6381922,-6118750,-6118750,-13027015,-12895429,-12829636,-12763843,-12763843,-12829636,-12763843,-12763843,-13027015,-13027015,-12698050,-12829636,-13027015,-13092808,-13092808,-13027015,-13027015,-13092808,-12763843,-12763843,-7960954,-8224126,-8487298,-8553091,-8487298,-8421505,-8421505,-8487298,-8882056,-8882056,-6250336,-6316129,-6316129,-6250336,-6184543,-6052957,-6118750,-6118750,-5855578,-5855578,-6579301,-6447715,-6250336,-6052957,-5921371,-5855578,-5855578,-5789785,-5921371,-5921371,-6645094,-6645094,-6579301,-6316129,-6184543,-6184543,-6118750,-5987164,-6052957,-6052957,-6776680,-6776680,-6710887,-6447715,-6316129,-6316129,-6250336,-6118750,-6052957,-6052957,2
1199,'2018/08/22 10:57:07:366',6,-5987164,-6118750,-6118750,-5987164,-5855578,-5855578,-5789785,-5658199,-5658199,-5658199,-6316129,-6250336,-6118750,-5987164,-5987164,-6052957,-5987164,-5855578,-5789785,-5789785,-6974059,-6842473,-6579301,-6381922,-6447715,-6579301,-6513508,-6316129,-6118750,-6118750,-13027015,-13027015,-12895429,-12698050,-12698050,-12829636,-12763843,-12566464,-13092808,-13092808,-12829636,-13027015,-13158601,-13092808,-13027015,-13027015,-12961222,-12895429,-12829636,-12829636,-8026747,-8355712,-8553091,-8553091,-8421505,-8421505,-8487298,-8487298,-8816263,-8816263,-6184543,-6316129,-6381922,-6184543,-6118750,-6118750,-6184543,-6184543,-5789785,-5789785,-6579301,-6447715,-6250336,-5921371,-5789785,-5855578,-5855578,-5789785,-5987164,-5987164,-6776680,-6579301,-6513508,-6447715,-6184543,-6052957,-5987164,-5723992,-5987164,-5987164,-6842473,-6645094,-6645094,-6579301,-6316129,-6250336,-6184543,-5987164,-5987164,-5987164,2
1200,'2018/08/22 10:57:07:383',6,-8355712,-8882056,-8553091,-8355712,-8289919,-8158333,-8421505,-8684677,-8947849,-9013642,-8421505,-8684677,-7895161,-8026747,-8092540,-7697782,-7829368,-8882056,-9079435,-9145228,-8224126,-8224126,-9145228,-7566196,-7697782,-7368817,-7631989,-9868951,-9013642,-9079435,-8882056,-8487298,-11842741,-8684677,-8618884,-8553091,-8158333,-9737365,-9145228,-9145228,-8158333,-8092540,-11711155,-11053225,-11184811,-11513776,-10987432,-10526881,-9671572,-9671572,-9013642,-9737365,-10724260,-12698050,-11908534,-11645362,-11908534,-10461088,-10197916,-10132123,-9145228,-10197916,-9934744,-11711155,-11776948,-11579569,-12303292,-11184811,-10395295,-10329502,-9342607,-9868951,-10263709,-10066330,-12237499,-12500671,-12171706,-10921639,-10461088,-10395295,-9408400,-9934744,-9539986,-10461088,-12040120,-12566464,-12171706,-10658467,-10263709,-10197916,-9605779,-10066330,-9671572,-10526881,-11974327,-12434878,-12040120,-10461088,-10329502,-10263709,2
1201,'2018/08/22 10:57:07:400',6,-8421505,-8158333,-8092540,-8092540,-8289919,-8553091,-8618884,-8684677,-8684677,-8750470,-8618884,-8487298,-8355712,-8224126,-8816263,-9079435,-9211021,-9013642,-8816263,-8882056,-8421505,-8618884,-8487298,-8355712,-9276814,-9211021,-9605779,-9145228,-8750470,-8816263,-8289919,-8684677,-8421505,-8684677,-10000537,-9671572,-10329502,-9803158,-9474193,-9474193,-8553091,-8882056,-7829368,-8618884,-10526881,-10461088,-11184811,-10461088,-8882056,-8882056,-8618884,-9408400,-7566196,-8750470,-10921639,-11513776,-12105913,-10855846,-9408400,-9408400,-11382190,-13421773,-11184811,-11513776,-12171706,-12434878,-12303292,-10395295,-8882056,-8947849,-7434610,-11513776,-10329502,-11053225,-11382190,-12303292,-12566464,-10790053,-9934744,-9934744,-10000537,-11053225,-14408668,-13158601,-13355980,-12632257,-13027015,-10526881,-10395295,-10395295,-9868951,-10263709,-11447983,-11447983,-11119018,-11908534,-11711155,-10329502,-10658467,-10658467,2
1202,'2018/08/22 10:57:07:417',6,-12434878,-12961222,-12763843,-12895429,-12763843,-13092808,-13027015,-13355980,-13290187,-13290187,-8092540,-8553091,-8553091,-9013642,-9145228,-9671572,-9737365,-10197916,-10526881,-10526881,-8092540,-8158333,-8092540,-8684677,-8618884,-8816263,-8816263,-9211021,-8618884,-8553091,-8224126,-8092540,-8289919,-9211021,-9211021,-9474193,-9408400,-9671572,-8618884,-8487298,-8224126,-8158333,-8684677,-10000537,-10066330,-10526881,-10461088,-10526881,-8816263,-8684677,-8421505,-8355712,-9013642,-10395295,-10461088,-10987432,-10855846,-10526881,-8684677,-8618884,-8355712,-8355712,-9145228,-10526881,-10724260,-11513776,-11447983,-10921639,-8750470,-8750470,-8487298,-8487298,-9145228,-10395295,-10395295,-11250604,-11119018,-10329502,-9013642,-9013642,-8553091,-8355712,-9013642,-9671572,-10461088,-10395295,-10263709,-9671572,-8882056,-8947849,-7960954,-7631989,-8289919,-8882056,-9671572,-9671572,-9605779,-9079435,-9013642,-9079435,2
1203,'2018/08/22 10:57:07:433',6,-6908266,-7039852,-6842473,-7171438,-7171438,-7171438,-7368817,-7303024,-7303024,-7303024,-6842473,-7171438,-7763575,-8289919,-8355712,-7895161,-7960954,-7303024,-7237231,-7237231,-7171438,-7631989,-8816263,-9145228,-9276814,-8882056,-9276814,-8092540,-7171438,-7171438,-7303024,-8224126,-10000537,-9934744,-10263709,-10197916,-10790053,-8882056,-7500403,-7500403,-6974059,-8684677,-11053225,-11053225,-11513776,-11579569,-11711155,-8947849,-7434610,-7434610,-6974059,-8947849,-11119018,-11250604,-11645362,-11908534,-11513776,-8750470,-7171438,-7171438,-7171438,-8816263,-10066330,-10395295,-10724260,-10855846,-10329502,-8289919,-7500403,-7500403,-7039852,-8289919,-9079435,-9671572,-9868951,-9737365,-8947849,-7434610,-7434610,-7434610,-7171438,-7303024,-8092540,-8487298,-8618884,-8421505,-7763575,-7697782,-7566196,-7566196,-7171438,-7039852,-7500403,-7697782,-7829368,-7895161,-7500403,-7631989,-7434610,-7434610,2
1204,'2018/08/22 10:57:07:449',6,-7763575,-7500403,-7763575,-7895161,-7697782,-7829368,-8158333,-7960954,-7960954,-7960954,-7697782,-7631989,-7829368,-7960954,-7895161,-7895161,-7960954,-7895161,-8026747,-7960954,-7763575,-7960954,-7960954,-7895161,-7960954,-8092540,-8224126,-8487298,-7960954,-7960954,-9145228,-9539986,-9276814,-8816263,-8750470,-8684677,-8816263,-9408400,-8487298,-8487298,-13224394,-12961222,-11776948,-10395295,-10000537,-10395295,-11250604,-12369085,-13158601,-13224394,-12500671,-12303292,-11447983,-10526881,-10461088,-11053225,-11908534,-12566464,-13290187,-13290187,-7829368,-8355712,-9145228,-9737365,-10132123,-10263709,-9803158,-9013642,-9013642,-9013642,-8158333,-8158333,-8750470,-9474193,-9934744,-10263709,-9737365,-8618884,-8355712,-8421505,-8158333,-8224126,-8553091,-9079435,-9408400,-9276814,-8882056,-8553091,-8224126,-8355712,-8289919,-8224126,-8289919,-8618884,-8816263,-8750470,-8553091,-8421505,-8355712,-8487298,2
